feature_name
num__SeniorCitizen
num__tenure
num__MonthlyCharges
num__TotalCharges
num__AvgMonthlyCharge
cat__gender_Female
cat__gender_Male
cat__Partner_No
cat__Partner_Yes
cat__Dependents_No
cat__Dependents_Yes
cat__PhoneService_No
cat__PhoneService_Yes
cat__MultipleLines_No
cat__MultipleLines_No phone service
cat__MultipleLines_Yes
cat__InternetService_DSL
cat__InternetService_Fiber optic
cat__InternetService_No
cat__OnlineSecurity_No
cat__OnlineSecurity_No internet service
cat__OnlineSecurity_Yes
cat__OnlineBackup_No
cat__OnlineBackup_No internet service
cat__OnlineBackup_Yes
cat__DeviceProtection_No
cat__DeviceProtection_No internet service
cat__DeviceProtection_Yes
cat__TechSupport_No
cat__TechSupport_No internet service
cat__TechSupport_Yes
cat__StreamingTV_No
cat__StreamingTV_No internet service
cat__StreamingTV_Yes
cat__StreamingMovies_No
cat__StreamingMovies_No internet service
cat__StreamingMovies_Yes
cat__Contract_Month-to-month
cat__Contract_One year
cat__Contract_Two year
cat__PaperlessBilling_No
cat__PaperlessBilling_Yes
cat__PaymentMethod_Bank transfer (automatic)
cat__PaymentMethod_Credit card (automatic)
cat__PaymentMethod_Electronic check
cat__PaymentMethod_Mailed check
cat__TenureGroup_0-12 months
cat__TenureGroup_13-24 months
cat__TenureGroup_25-48 months
cat__TenureGroup_49-72 months
