fold,accuracy,roc_auc,average_precision,precision,recall,f1
1,0.7811387900355872,0.8647966973239042,0.708887554625507,0.566579634464752,0.7306397306397306,0.638235294117647
2,0.7827248441674087,0.8285661294135872,0.637796041624543,0.5754985754985755,0.6801346801346801,0.6234567901234568
3,0.7756010685663401,0.8398798314052551,0.6389920899227292,0.5606469002695418,0.7003367003367004,0.6227544910179641
4,0.7969723953695459,0.8631798208069393,0.6905127692204985,0.596100278551532,0.7205387205387206,0.6524390243902439
5,0.7684772929652716,0.8238213450077857,0.613867982174632,0.5524079320113314,0.6565656565656566,0.6
