metric,mean,std
accuracy,0.7809828782208307,0.010536566687532771
roc_auc,0.8440487647914944,0.019122725508972396
average_precision,0.658011287513582,0.039886583953727336
precision,0.5702466641591466,0.016731817653983443
recall,0.6976430976430976,0.030058874236586732
f1,0.6273771199298623,0.019571940254965423
